epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,128369,0.67123,0.37427,0.79397,0.96881,0.94559,0.95507,0.80983,0.48305,0.25391,0.77794,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,129869,0.66791,0.37101,0.79352,0.96901,0.94661,0.95519,0.81072,0.48106,0.25311,0.77768,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,131368,0.66547,0.36984,0.79353,0.97027,0.94631,0.95536,0.81146,0.47998,0.25223,0.77745,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,132868,0.6614,0.36549,0.79273,0.97013,0.94694,0.95558,0.81158,0.47777,0.25113,0.77725,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,134368,0.65728,0.36268,0.79257,0.96952,0.94743,0.95577,0.8125,0.47621,0.24993,0.77703,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,135868,0.65274,0.36,0.79176,0.97033,0.94811,0.95598,0.81361,0.47437,0.24924,0.77682,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,137368,0.64893,0.35689,0.79165,0.97201,0.94905,0.95727,0.81437,0.47276,0.24846,0.77663,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,138868,0.64411,0.35346,0.79101,0.97222,0.94844,0.95649,0.81479,0.47112,0.24774,0.77642,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,140369,0.64081,0.35086,0.79092,0.97149,0.94834,0.95707,0.81571,0.46957,0.24708,0.7762,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,141880,0.55984,0.30224,0.78164,0.97276,0.94897,0.95789,0.81674,0.46769,0.24595,0.77611,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,143315,0.55096,0.29711,0.78024,0.97428,0.94798,0.95813,0.81866,0.46527,0.24491,0.77588,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,144749,0.54333,0.29192,0.77945,0.97397,0.94784,0.95772,0.81952,0.46271,0.24352,0.77565,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,146185,0.53588,0.28787,0.77818,0.97393,0.94787,0.95776,0.82087,0.45993,0.24189,0.77542,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,147624,0.52823,0.28331,0.77763,0.97408,0.94804,0.9578,0.82246,0.45683,0.24049,0.77514,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,149060,0.52213,0.27843,0.77717,0.97509,0.94732,0.95794,0.82318,0.45399,0.2391,0.77492,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,150497,0.51585,0.27412,0.77676,0.97505,0.94795,0.9589,0.82544,0.45134,0.23793,0.77468,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,151936,0.5088,0.26931,0.77555,0.97528,0.94915,0.95949,0.82644,0.44909,0.23676,0.77441,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,153374,0.50213,0.26452,0.77479,0.97474,0.95005,0.95956,0.82736,0.44688,0.23591,0.7741,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,154810,0.49425,0.25922,0.77417,0.97417,0.95078,0.96018,0.82848,0.4448,0.23469,0.77379,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
